Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,ENGINERSIN.NS,PARAS.NS,POLYCAB.NS,ENGINERSIN.NS,PARAS.NS,POLYCAB.NS,ENGINERSIN.NS,PARAS.NS,POLYCAB.NS,ENGINERSIN.NS,PARAS.NS,POLYCAB.NS,ENGINERSIN.NS,PARAS.NS,POLYCAB.NS
Date,,,,,,,,,,,,,,,
2025-06-24,229.1206817626953,823.0160522460938,6313.54345703125,231.69231455908428,878.0236674790269,6396.151497849976,224.89653106106408,819.3688372945728,6229.442499812185,224.89653106106408,874.3265032106722,6279.206379823466,8587220,2463620,608610
2025-06-25,230.4309539794922,795.737060546875,6410.5830078125,231.35009874716715,831.2097377810637,6464.327998096909,224.94543343132844,786.8938963922155,6316.031636015856,229.68780803785924,826.863110177217,6328.472605989098,3776982,1640808,480549
2025-06-26,227.9668731689453,805.9791259765625,6437.953125,232.64080890850278,818.3196566273562,6465.820897667543,226.50992929757868,793.3888487419237,6359.823833771354,230.76341343706744,799.384230470452,6419.540489487516,2563673,1003854,294479
2025-06-27,232.7483673095703,814.32275390625,6455.37060546875,234.47909707749434,817.0206879427877,6554.898366885166,225.90368983394828,805.8292962652619,6439.446163642124,229.33580131116213,813.3734729134451,6449.398939783765,7628000,598476,417426
2025-06-30,235.4666748046875,798.1351928710938,6520.0634765625,238.39033519362872,826.7131547244782,6534.495001583131,231.05675237339946,794.3880792895393,6437.953075583046,231.74121711924502,820.3181174715313,6455.370433366566,6333600,1425200,180007
2025-07-01,233.2274932861328,813.07373046875,6632.52978515625,236.53248445342982,816.8707935192771,6657.411724626374,231.39897649678264,798.1851741793655,6529.020916960534,235.4666740013769,798.1851741793655,6529.518555749937,2216448,896728,317256
2025-07-02,229.25758361816406,847.4472045898438,6736.03857421875,233.78483859976177,850.3449968946268,6745.991349889877,228.66111828535583,815.4718345538531,6606.652490494099,233.11014659311826,818.2197179163211,6648.454148312832,2342901,2384278,407342
2025-07-03,229.5704803466797,848.1466674804688,6775.35205078125,230.71451750080715,866.8322863109748,6837.059260057554,226.7055010916808,842.1512856731306,6711.156647582515,229.2478009052264,856.3403681481332,6743.00552978964,2574523,1715032,349404
2025-07-04,237.6080780029297,932.8814086914062,6685.77734375,240.24816477447538,932.8814086914062,6838.552456852438,228.6122195975608,855.3411597281452,6630.04179760188,229.78558983822418,857.3396203817156,6795.755519631559,12171759,4770643,457714
2025-07-07,231.29141235351562,884.4187622070312,6668.35986328125,238.56632873733773,941.2749937627048,6707.673328146863,230.37228252670982,859.7378212460485,6573.808492085471,238.2925428450616,933.2811509282019,6668.35986328125,3979136,3459684,183853
2025-07-08,236.25868225097656,860.3372802734375,6716.630859375,237.11916068069786,896.3095707378321,6728.574190531924,230.25492348044693,851.5440659131098,6593.714076218326,231.29140072340502,896.3095707378321,6638.50156805679,4073192,1369081,159641
2025-07-09,240.55130004882812,850.0452270507812,6684.2841796875,244.8438901222942,866.132810459831,6763.906385520586,235.48624578182367,842.6508984473132,6638.501411333476,237.36364127771412,857.4394946660719,6716.630700807191,11925363,817987,303920
2025-07-10,244.58966064453125,835.7562866210938,6748.97705078125,245.23501953208773,861.236660469442,6776.844822116138,239.91572491988808,826.5633552311124,6658.904432716701,242.10602708967997,854.3419466799108,6708.170671326593,6305648,806700,249936
2025-07-11,244.9612274169922,812.5740966796875,6673.833984375,249.78182871197993,843.1505196345772,6761.91605247092,242.80025844047915,809.3765475042574,6614.117328038784,244.40386795908063,834.3573051432776,6738.527028739235,7286224,665297,310579
2025-07-14,243.5531768798828,792.8892822265625,6764.404296875,245.96837135465833,812.3742740393136,6847.509977561981,240.7370762958049,786.5941432231559,6690.753753511688,244.96122717192176,810.3758133405698,6750.470410292752,3120289,673317,407039
2025-07-15,241.489990234375,807.77783203125,6911.705078125,245.2545686517732,812.2743685655918,6922.653131384323,239.17258287770716,788.39273902126,6767.887469400244,242.49713439732759,793.4887893649087,6771.370940891848,2335530,448573,418898
2025-07-16,241.108642578125,806.9783935546875,6915.1884765625,246.2128172850512,814.9722362287831,6976.398046411175,240.29705764286302,804.4803177190325,6896.278202950714,241.42153434533483,813.2735934510815,6897.27348050923,1939321,322568,289082
2025-07-17,234.68441772460938,807.078369140625,6853.4814453125,241.84200155837436,816.271300595257,6943.554066689319,233.4719416077858,804.3804349871314,6782.816736829028,241.3628687869189,812.0745209107314,6936.089484807263,2565470,258927,907510
2025-07-18,230.010498046875,794.787841796875,6893.29248046875,235.83825869610422,813.5733601086055,7046.565226930227,228.15266294780633,791.8900493974985,6863.434153235995,234.674661114179,807.0783628580266,6958.980800380811,2032788,254325,1599277
2025-07-21,229.82470703125,774.3035888671875,7008.74462890625,233.64795189086607,795.1874656791886,7027.654902684894,228.0157655062127,771.4057965831971,6790.281202884534,230.01049352154425,794.2881949962858,6922.155480551401,2084897,545303,356365
2025-07-22,236.85516357421875,810.8754272460938,6927.62939453125,237.87209540913128,819.3688852024607,7046.067423113855,230.7731777238017,790.0914482093259,6912.202592488978,231.5456567991965,799.3842782463031,7008.744514947068,3546667,906828,267070
