Date,Close,High,Low,Open,Volume,MA_20,MA_50,Returns,Cumulative_Returns,rolling_max,drawdown,rolling_volatility,change,gain,loss,avg_gain,avg_loss,RS,RSI
2025-06-24,229.1206817626953,231.69231455908428,224.89653106106408,224.89653106106408,8587220,,,,,,,,,,,,,,
2025-06-25,230.4309539794922,231.35009874716715,224.94543343132844,229.68780803785924,3776982,,,0.005718699013622652,1.0057186990136227,1.0057186990136227,0.0,,1.310272216796875,1.310272216796875,-0.0,,,,
2025-06-26,227.9668731689453,232.6408089085028,226.50992929757868,230.76341343706744,2563673,,,-0.010693358544035636,0.9949641883706289,1.0057186990136227,-0.010693358544035619,,-2.464080810546875,0.0,2.464080810546875,,,,
2025-06-27,232.7483673095703,234.47909707749437,225.90368983394828,229.33580131116213,7628000,,,0.02097451298146047,1.015833077655697,1.015833077655697,0.0,,4.781494140625,4.781494140625,-0.0,,,,
2025-06-30,235.4666748046875,238.39033519362872,231.05675237339943,231.74121711924505,6333600,,,0.011679168909063398,1.0276971637530516,1.0276971637530516,0.0,,2.7183074951171875,2.7183074951171875,-0.0,,,,
2025-07-01,233.2274932861328,236.53248445342984,231.39897649678264,235.4666740013769,2216448,,,-0.009509547456819645,1.017924228803103,1.0276971637530516,-0.009509547456819735,,-2.2391815185546875,0.0,2.2391815185546875,,,,
2025-07-02,229.2575836181641,233.78483859976177,228.66111828535583,233.11014659311823,2342901,,,-0.017021619587096803,1.0005975098119277,1.0276971637530516,-0.02636929914466102,,-3.9699096679687216,0.0,3.9699096679687216,,,,
2025-07-03,229.5704803466797,230.71451750080715,226.7055010916808,229.2478009052264,2574523,,,0.0013648260771899068,1.0019631513860903,1.0276971637530516,-0.025040462574581045,,0.3128967285155966,0.3128967285155966,-0.0,,,,
2025-07-04,237.6080780029297,240.24816477447536,228.6122195975608,229.78558983822415,12171759,,,0.035011459853689475,1.0370433440357205,1.0370433440357205,0.0,,8.03759765625,8.03759765625,-0.0,,,,
2025-07-07,231.2914123535156,238.56632873733773,230.37228252670985,238.2925428450616,3979136,,,-0.026584389312455103,1.0094741800439846,1.0370433440357205,-0.026584389312455117,,-6.316665649414091,0.0,6.316665649414091,,,,
2025-07-08,236.25868225097656,237.11916068069783,230.25492348044693,231.29140072340505,4073192,,,0.02147624006838944,1.0311538898774497,1.0370433440357205,-0.005679081971011563,,4.967269897460966,4.967269897460966,-0.0,,,,
2025-07-09,240.55130004882807,244.8438901222942,235.48624578182367,237.36364127771407,11925363,,,0.018169143063667237,1.04988907242329,1.04988907242329,0.0,,4.292617797851506,4.292617797851506,-0.0,,,,
2025-07-10,244.58966064453125,245.23501953208773,239.91572491988808,242.10602708968,6305648,,,0.01678793918338184,1.0675145463204294,1.0675145463204294,0.0,,4.038360595703182,4.038360595703182,-0.0,,,,
2025-07-11,244.9612274169922,249.78182871197995,242.80025844047915,244.40386795908063,7286224,,,0.001519143415473101,1.0691362540143938,1.0691362540143938,0.0,,0.3715667724609375,0.3715667724609375,-0.0,,,,
2025-07-14,243.5531768798828,245.96837135465836,240.7370762958049,244.96122717192176,3120289,,,-0.005748054710358219,1.0629908003334916,1.0691362540143938,-0.005748054710358283,,-1.408050537109375,0.0,1.408050537109375,2.2021702357700894,1.1712777273995536,1.8801435255319863,65.27950808231712
2025-07-15,241.489990234375,245.2545686517732,239.1725828777072,242.4971343973276,2335530,,,-0.008471195785408892,1.0539859971457781,1.0691362540143938,-0.014170557598930454,,-2.0631866455078125,0.0,2.0631866455078125,2.108579363141741,1.318648202078683,1.599046174573196,61.52434651669028
2025-07-16,241.108642578125,246.2128172850512,240.29705764286305,241.42153434533483,1939321,,,-0.0015791447748202403,1.0523216006656517,1.0691362540143938,-0.015727325011761998,,-0.38134765625,0.0,0.38134765625,2.108579363141741,1.1698815482003349,1.8023870590876778,64.31613553319963
2025-07-17,234.68441772460935,241.8420015583744,233.4719416077858,241.3628687869189,2565470,,,-0.026644523335301207,1.0242829932204742,1.0691362540143938,-0.041952801268785464,,-6.424224853515653,0.0,6.424224853515653,1.7670440673828125,1.6287547520228816,1.0849049343912447,52.03618239351607
2025-07-18,230.010498046875,235.83825869610425,228.15266294780636,234.674661114179,2032788,,,-0.019915764851584528,1.003883613986018,1.0691362540143938,-0.06103304399543561,,-4.673919677734347,0.0,4.673919677734347,1.5728792463030135,1.9626061575753349,0.8014237804319323,44.48835355330841
2025-07-21,229.82470703125,233.64795189086607,228.0157655062127,230.01049352154425,2084897,235.1860450744629,,-0.0008077501557651745,1.003072726840451,1.0691362540143938,-0.06179149470040655,,-0.185791015625,0.0,0.185791015625,1.5728792463030135,1.8159354073660714,0.8661537408890554,46.413846936127065
2025-07-22,236.85516357421875,237.87209540913128,230.7731777238017,231.5456567991965,3546667,235.57276916503906,,0.030590516719391614,1.0337572398616295,1.0691362540143938,-0.03309121173276389,0.018060989665237965,7.03045654296875,7.03045654296875,-0.0,2.075054713657924,1.5323704310825914,1.3541469292068864,57.52176775402457
2025-07-23,235.2613525390625,237.60809317018905,233.207943296667,237.55919963199617,1113272,235.81428909301758,,-0.00672905336368923,1.0268010322295005,1.0691362540143938,-0.039597592566834226,0.01813374660361178,-1.59381103515625,0.0,1.59381103515625,2.0527049473353816,1.6462140764508948,1.2469246720091522,55.49472519228598
